ID,FID,Status,Score,Match_type,Side,Match_addr,ARC_Street,ARC_Zone,address,latitude,longitude,name,desc_,source,precision
1389,1388,T,86,A,R,"55 WATER ST, 1",55 Water St Ny Ny,1,55 Water St Ny Ny,40.703041,-74.009407,55 Water St Ny Ny,"55 Water St, New York, NY 10004",Bing Maps,address
1390,1389,T,86,A,R,"1 CENTRE ST, 1",1 Centre St.,1,1 Centre St.,-27.10001,-48.922909,1 Centre St.,"Centro 1, Brazil",Bing Maps,Neighborhood
1391,1390,U,0,A, , ,Not Used, ,Not Used,0,0,Not Used,-,Bing Maps, 
1392,1391,T,86,A,R,"280 BROADWAY, 1",280 Broadway,1,280 Broadway,40.714249,-74.006111,280 Broadway,280 Broadway,Bing Maps,HistoricalSite
1393,1392,M,86,A,R,"58 70 GRAND AVE, 4",58-52 Grand Ave,4,58-52 Grand Ave,40.71996,-73.909924,58-52 Grand Ave,"58-52 Grand Ave, Maspeth, NY 11378",Bing Maps,address
1394,1393,M,86,A,R,"58 70 GRAND AVE, 4",58-52 Grand Ave,4,58-52 Grand Ave,40.71996,-73.909924,58-52 Grand Ave,"58-52 Grand Ave, Maspeth, NY 11378",Bing Maps,address
1395,1394,T,86,A,L,"421 E 26TH ST, 1",421 East 26th Street NY NY,1,421 East 26th Street NY NY,40.738601,-73.97657,421 East 26th Street NY NY,"421 E 26th St, New York, NY 10010",Bing Maps,address
1396,1395,T,86,A,R,"280 BROADWAY, 1",280 Broadway,1,280 Broadway,40.714249,-74.006111,280 Broadway,280 Broadway,Bing Maps,HistoricalSite
1397,1396,M,86,A,L,"42 51 28TH ST, 4",42-09 28th Street,4,42-09 28th Street,40.749632,-73.939083,42-09 28th Street,"42-09 28th St, Long Island City, NY 11101",Bing Maps,address
1398,1397,M,86,A,L,"42 51 28TH ST, 4",42-09 28th Street,4,42-09 28th Street,40.749632,-73.939083,42-09 28th Street,"42-09 28th St, Long Island City, NY 11101",Bing Maps,address
1399,1398,U,0,A, , ,59-17 Junction Blvd Corona Ny, ,59-17 Junction Blvd Corona Ny,40.74408,-73.867668,59-17 Junction Blvd Corona Ny,"Junction Blvd, Corona, NY 11368",Bing Maps,street
1400,1399,T,86,A,L,"421 E 26TH ST, 1",421 East 26th Street NY NY,1,421 East 26th Street NY NY,40.738601,-73.97657,421 East 26th Street NY NY,"421 E 26th St, New York, NY 10010",Bing Maps,address
1401,1400,M,86,A,L,"42 51 28TH ST, 4",42-09 28th Street,4,42-09 28th Street,40.749632,-73.939083,42-09 28th Street,"42-09 28th St, Long Island City, NY 11101",Bing Maps,address
1402,1401,M,86,A,L,"42 51 28TH ST, 4",42-09 28th Street,4,42-09 28th Street,40.749632,-73.939083,42-09 28th Street,"42-09 28th St, Long Island City, NY 11101",Bing Maps,address
1403,1402,U,0,A, , ,59-17 Junction Blvd Corona Ny, ,59-17 Junction Blvd Corona Ny,40.74408,-73.867668,59-17 Junction Blvd Corona Ny,"Junction Blvd, Corona, NY 11368",Bing Maps,street
1404,1403,T,86,A,L,"42 BROADWAY, 1",42 Broadway,1,42 Broadway,40.705982,-74.012581,42 Broadway,"42 Broadway, New York, NY 10004",Bing Maps,address
1405,1404,T,86,A,L,"42 BROADWAY, 1",42 Broadway,1,42 Broadway,40.705982,-74.012581,42 Broadway,"42 Broadway, New York, NY 10004",Bing Maps,address
